name,tvId,userId,rating
Band of Brothers,4613,1576,10.0
Band of Brothers,4613,1243,9.0
Hudson & Rex,87940,1243,8.0
Hudson & Rex,87940,1243,8.0
Re:ZERO -Starting Life in Another World-,65942,1524,7.0
Hannibal,40008,504,4.0
His Dark Materials,68507,923,7.0
His Dark Materials,68507,1567,7.0
His Dark Materials,68507,923,7.0
His Dark Materials,68507,509,10.0
His Dark Materials,68507,510,10.0
Tokyo Ghoul,61374,1286,5.0
Charlie's Angels,3382,1576,10.0
Moon Knight,92749,513,8.0
Moon Knight,92749,514,10.0
Moon Knight,92749,904,6.0
Moon Knight,92749,727,8.0
Moon Knight,92749,709,9.0
Moon Knight,92749,709,9.0
Only Murders in the Building,107113,1472,9.0
Only Murders in the Building,107113,718,4.0
"Girlfriend, Girlfriend",113137,706,7.0
Quantico,62816,1540,2.0
Quantico,62816,788,1.0
black-ish,61381,802,8.0
Starsky & Hutch,1532,1243,9.0
The Fresh Prince of Bel-Air,1892,1542,8.0
Big Mouth,74204,1312,5.0
Big Mouth,74204,1576,10.0
Dragon Ball Super,62715,923,8.0
Dragon Ball Super,62715,1542,9.0
Dragon Ball Super,62715,904,6.0
Marvel's Jessica Jones,38472,540,6.0
Marvel's Jessica Jones,38472,1542,8.0
T. J. Hooker,1059,1576,10.0
Chernobyl,87108,1594,10.0
Chernobyl,87108,1541,9.0
Chernobyl,87108,1464,4.0
Chernobyl,87108,546,10.0
The King's Affection,129478,1588,2.0
Bosch: Legacy,153657,1594,9.0
Money Heist,71446,549,10.0
Money Heist,71446,551,10.0
Money Heist,71446,552,6.0
Money Heist,71446,1436,4.0
Van Helsing,65820,1286,3.0
Van Helsing,65820,1456,10.0
Inside Job,97727,1569,2.0
Inside Job,97727,557,7.0
Arcane,94605,1569,4.0
Arcane,94605,559,10.0
Arcane,94605,677,10.0
Trollhunters: Tales of Arcadia,68267,1405,10.0
Trollhunters: Tales of Arcadia,68267,1405,10.0
Trollhunters: Tales of Arcadia,68267,1542,9.0
Sleepy Hollow,50825,1576,10.0
Sleepy Hollow,50825,1576,10.0
Airwolf,2119,1576,10.0
The Six Million Dollar Man,1663,1576,10.0
Dahmer – Monster: The Jeffrey Dahmer Story,113988,1436,9.0
Dahmer – Monster: The Jeffrey Dahmer Story,113988,569,8.0
Fresh Off the Boat,61692,1542,9.0
Sliders,1649,1576,10.0
The View,2221,1576,1.0
WandaVision,85271,923,9.0
WandaVision,85271,923,9.0
WandaVision,85271,1452,4.0
WandaVision,85271,576,6.0
WandaVision,85271,727,8.0
WandaVision,85271,709,8.0
Bodies,233629,579,1.0
She-Hulk: Attorney at Law,92783,580,3.0
She-Hulk: Attorney at Law,92783,727,6.0
She-Hulk: Attorney at Law,92783,1576,1.0
1883,118357,1594,7.0
SHAMAN KING,104699,1542,5.0
SHAMAN KING,104699,1542,5.0
13 Reasons Why,66788,938,6.0
13 Reasons Why,66788,590,5.0
13 Reasons Why,66788,1576,1.0
The O.C.,2673,592,10.0
Good Omens,71915,1567,3.0
Good Omens,71915,1576,1.0
Good Omens,71915,1595,4.0
Demon Slayer: Kimetsu no Yaiba,85937,596,10.0
Hijack,198102,1595,6.0
Lois & Clark: The New Adventures of Superman,4515,1576,10.0
Moving,126485,1595,2.0
Moving,126485,1595,2.0
Adventure Time: Fionna & Cake,131378,603,9.0
Virgin River,88324,1542,9.0
Petticoat Junction,3346,1352,3.0
Altered Carbon,68421,1569,1.0
Altered Carbon,68421,696,10.0
Schitt's Creek,61662,1464,2.0
Schitt's Creek,61662,609,9.0
Miracle Workers,78950,610,7.0
Miracle Workers,78950,611,7.0
Miracle Workers,78950,1542,7.0
Rosewood,63329,613,10.0
Happy Days,3845,1352,2.0
Hill Street Blues,3828,1576,10.0
The Kardashians,154521,904,1.0
Disenchantment,73021,1576,1.0
Disenchantment,73021,1595,3.0
Twisted Metal,133748,1595,6.0
AIBOU: Tokyo Detective Duo,40663,860,8.0
Star Trek: Strange New Worlds,103516,1228,1.0
Star Trek: Strange New Worlds,103516,1456,8.0
Star Trek: Strange New Worlds,103516,1595,2.0
Star Trek: Strange New Worlds,103516,1595,2.0
Star Trek: Strange New Worlds,103516,630,1.0
Line of Duty,43982,1233,10.0
Martin,171,1576,1.0
Line of Duty,43982,1233,10.0
Martin,171,1576,1.0
My Name is Farah,219826,636,10.0
The Bear,136315,637,9.0
The Mist,68315,639,3.0
Animaniacs,107124,1279,10.0
The Wild Wild West,10929,641,10.0
American Crime Story,64513,1541,8.0
The Book of Boba Fett,115036,643,6.0
The Book of Boba Fett,115036,1569,2.0
Killing Eve,72750,1475,6.0
Killing Eve,72750,646,10.0
The Cuphead Show!,103786,649,9.0
The Cuphead Show!,103786,649,9.0
The Dead Zone,1475,1576,10.0
Moonlighting,1998,1243,10.0
Call the Midwife,39793,1594,8.0
The Gifted,69629,1143,10.0
The Gifted,69629,788,3.0
The Good Place,66573,656,7.0
The Good Place,66573,1464,5.0
The Outer Limits,21567,1576,10.0
Quantum Leap,202102,1595,4.0
Quantum Leap,202102,1456,4.0
"Ed, Edd n Eddy",606,1542,9.0
The Marvelous Mrs. Maisel,70796,662,9.0
The Marvelous Mrs. Maisel,70796,1594,7.0
All Elite Wrestling: Dynamite,91555,664,10.0
Evil,86848,1595,6.0
Evil,86848,1595,6.0
ER,4588,1576,10.0
ER,4588,668,8.0
Big Sky,100010,669,10.0
All Creatures Great & Small,108255,1594,10.0
KONOSUBA – God's blessing on this wonderful world!!,65844,1524,8.0
All American,82428,673,10.0
All American,82428,673,10.0
Marvel's Spider-Man,72705,674,8.0
The Leftovers,54344,675,10.0
I Love Lucy,2730,1576,10.0
The Man in the High Castle,62017,677,6.0
The Man in the High Castle,62017,678,9.0
The Man in the High Castle,62017,1576,4.0
